name,price,store,url
Apple iPhone 11 64GB (PRODUCT)RED,49 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/apple/smartfon_apple_iphone_11_64gb_product_red_mhdd3ru_a-2386791.html
Samsung Galaxy S21 5G 256GB Фиолетовый Фантом,59 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_s21_5g_256gb_fioletovyy_fantom_sm_g991bzvgser-2444876.html
Samsung Galaxy A52 128GB Фиолетовый,27 490 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a52_128gb_fioletovyy_sm_a525flvdser-2547954.html
ZTE Blade A71 3/64GB Синий,9 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/zte/smartfon_zte_blade_a71_3_64gb_siniy_zte_blade.a71.bl-2666312.html
Samsung Galaxy A22 128Gb Белый,19 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a22_128gb_belyy_sm_a225fzwgser-2703099.html
VIVO Y31 4/64GB Голубой океан,14 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/vivo/smartfon_vivo_y31_4_64gb_goluboy_okean_y31_ocean_blue_v2036_464-2821378.html
Xiaomi 11T 8/256Gb Серый,44 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_11t_8_256gb_seryy_x35014-2847170.html
Xiaomi 11T 8/128Gb Серый,39 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_11t_8_128gb_seryy_x35025-2860951.html
Infinix HOT 11S NFC 6/128GB Черный,15 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/infinix/smartfon_infinix_hot_11s_nfc_6_128gb_chernyy_4895180776090-2902090.html
ZTE Blade L210 Синий,5 290 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/zte/smartfon_zte_blade_l210_siniy_zte_blade.l210.bl-2373117.html
Samsung Galaxy S21 5G 256GB Серый Фантом,59 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_s21_5g_256gb_seryy_fantom_sm_g991bzagser-2444875.html
VIVO Y31 4/128GB Голубой океан,16 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/vivo/smartfon_vivo_y31_4_128gb_goluboy_okean_y31_ocean_blue_vivo_v2036-2505617.html
Samsung Galaxy A02s 32GB Белый,10 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a02s_32gb_belyy_sm_a025fzweser-2513549.html
Samsung Galaxy A32 64GB Голубой,19 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a32_64gb_goluboy_sm_a325fzbdser-2535363.html
